=================================================================================================================================================
REPOSITORY: ALGORITHMS | FULL CONFUSION SCORE RANKING
=================================================================================================================================================
Function                     | Class              | File Path                           | Line  | Comp | Hits | Doc? | Score 
check_is_full                | CircularQueueLi... | ...es/circular_queue_linked_list.py | 146   | 3    | 0    | No   | 0.3556
__init__                     | Deque              | ...res/queues/double_ended_queue.py | 89    | 3    | 0    | No   | 0.3556
__contains__                 | LinkedList         | ...d_list/doubly_linked_list_two.py | 57    | 3    | 0    | No   | 0.3556
insert_at_position           | LinkedList         | ...d_list/doubly_linked_list_two.py | 121   | 3    | 0    | No   | 0.3556
get_node                     | LinkedList         | ...d_list/doubly_linked_list_two.py | 133   | 3    | 0    | No   | 0.3556
remove_node_pointers         | LinkedList         | ...d_list/doubly_linked_list_two.py | 152   | 3    | 0    | No   | 0.3556
test_insert_overrides_exi... | None               | ...uctures/linked_list/skip_list.py | 269   | 3    | 0    | No   | 0.3556
__iter__                     | Node               | ...ructures/linked_list/has_loop.py | 15    | 3    | 0    | No   | 0.3556
binary_tree_mirror_dict      | None               | ...inary_tree/binary_tree_mirror.py | 7     | 3    | 0    | No   | 0.3556
preorder_traverse            | RedBlackTree       | ...es/binary_tree/red_black_tree.py | 466   | 3    | 0    | No   | 0.3556
inorder_traverse             | RedBlackTree       | ...es/binary_tree/red_black_tree.py | 473   | 3    | 0    | No   | 0.3556
postorder_traverse           | RedBlackTree       | ...es/binary_tree/red_black_tree.py | 480   | 3    | 0    | No   | 0.3556
__iter__                     | Node               | ...binary_tree/floor_and_ceiling.py | 25    | 3    | 0    | No   | 0.3556
__repr__                     | Node               | ...inary_tree/binary_search_tree.py | 117   | 3    | 0    | No   | 0.3556
__repr__                     | Node               | ..._structures/binary_tree/treap.py | 18    | 3    | 0    | No   | 0.3556
__str__                      | Node               | ..._structures/binary_tree/treap.py | 28    | 3    | 0    | No   | 0.3556
__iter__                     | Node               | ...inary_tree/mirror_binary_tree.py | 23    | 3    | 0    | No   | 0.3556
path_sum                     | BinaryTreePathSum  | ...ary_tree/binary_tree_path_sum.py | 92    | 3    | 0    | No   | 0.3556
get_right_most               | None               | ...ructures/binary_tree/avl_tree.py | 180   | 3    | 0    | No   | 0.3556
get_left_most                | None               | ...ructures/binary_tree/avl_tree.py | 189   | 3    | 0    | No   | 0.3556
backtrack                    | None               | ...tructures/arrays/permutations.py | 29    | 3    | 0    | No   | 0.3556
__init__                     | PrefixSum          | ..._structures/arrays/prefix_sum.py | 11    | 3    | 0    | No   | 0.3556
_collision_resolution        | HashTableWithLi... | ...g/hash_table_with_linked_list.py | 22    | 3    | 0    | No   | 0.3556
_resize                      | HashMap            | data_structures/hashing/hash_map.py | 114   | 3    | 0    | No   | 0.3556
build_heap                   | MinHeap            | data_structures/heap/min_heap.py    | 54    | 3    | 0    | No   | 0.3556
sift_up                      | MinHeap            | data_structures/heap/min_heap.py    | 91    | 3    | 0    | No   | 0.3556
insertion_sort               | None               | sorts/tim_sort.py                   | 19    | 2    | 0    | No   | 0.3444
merge                        | FileMerger         | sorts/external_sort.py              | 93    | 2    | 0    | No   | 0.3444
get_file_handles             | FileMerger         | sorts/external_sort.py              | 100   | 2    | 0    | No   | 0.3444
rotate                       | Queue              | .../queues/queue_on_pseudo_stack.py | 40    | 2    | 0    | No   | 0.3444
create_linked_list           | CircularQueueLi... | ...es/circular_queue_linked_list.py | 27    | 2    | 0    | No   | 0.3444
check_can_perform_operation  | CircularQueueLi... | ...es/circular_queue_linked_list.py | 142   | 2    | 0    | No   | 0.3444
__iter__                     | LinkedQueue        | ...tructures/queues/linked_queue.py | 49    | 2    | 0    | No   | 0.3444
__next__                     | LinkedListIterator | ...d_list/doubly_linked_list_two.py | 35    | 2    | 0    | No   | 0.3444
__str__                      | LinkedList         | ...d_list/doubly_linked_list_two.py | 49    | 2    | 0    | No   | 0.3444
get_head_data                | LinkedList         | ...d_list/doubly_linked_list_two.py | 68    | 2    | 0    | No   | 0.3444
get_tail_data                | LinkedList         | ...d_list/doubly_linked_list_two.py | 73    | 2    | 0    | No   | 0.3444
set_head                     | LinkedList         | ...d_list/doubly_linked_list_two.py | 78    | 2    | 0    | No   | 0.3444
set_tail                     | LinkedList         | ...d_list/doubly_linked_list_two.py | 85    | 2    | 0    | No   | 0.3444
insert                       | LinkedList         | ...d_list/doubly_linked_list_two.py | 92    | 2    | 0    | No   | 0.3444
insert_before_node           | LinkedList         | ...d_list/doubly_linked_list_two.py | 99    | 2    | 0    | No   | 0.3444
insert_after_node            | LinkedList         | ...d_list/doubly_linked_list_two.py | 110   | 2    | 0    | No   | 0.3444
remove                       | LinkedList         | ...ructures/linked_list/__init__.py | 77    | 2    | 0    | No   | 0.3444
__init__                     | LinkedList         | ...s/linked_list/reverse_k_group.py | 14    | 2    | 0    | No   | 0.3444
__iter__                     | SkipList           | ...uctures/linked_list/skip_list.py | 109   | 2    | 0    | No   | 0.3444
test_insert                  | None               | ...uctures/linked_list/skip_list.py | 249   | 2    | 0    | No   | 0.3444
test_delete_doesnt_leave_... | None               | ...uctures/linked_list/skip_list.py | 373   | 2    | 0    | No   | 0.3444
traverse_keys                | None               | ...uctures/linked_list/skip_list.py | 383   | 2    | 0    | No   | 0.3444
test_iter_always_yields_s... | None               | ...uctures/linked_list/skip_list.py | 391   | 2    | 0    | No   | 0.3444
__init__                     | SortedLinkedList   | ...s/linked_list/merge_two_lists.py | 21    | 2    | 0    | No   | 0.3444
_get_lowest_node             | BinarySearchTree   | .../binary_search_tree_recursive.py | 158   | 2    | 0    | No   | 0.3444
_inorder_traversal           | BinarySearchTree   | .../binary_search_tree_recursive.py | 250   | 2    | 0    | No   | 0.3444
_preorder_traversal          | BinarySearchTree   | .../binary_search_tree_recursive.py | 272   | 2    | 0    | No   | 0.3444
__init__                     | SegmentTree        | ...inary_tree/segment_tree_other.py | 130   | 2    | 0    | No   | 0.3444
_build_tree                  | SegmentTree        | ...inary_tree/segment_tree_other.py | 168   | 2    | 0    | No   | 0.3444
is_right                     | Node               | ...inary_tree/binary_search_tree.py | 125   | 2    | 0    | No   | 0.3444
__iter__                     | BinarySearchTree   | ...inary_tree/binary_search_tree.py | 136   | 2    | 0    | No   | 0.3444
insert                       | BinarySearchTree   | ...inary_tree/binary_search_tree.py | 195   | 2    | 0    | No   | 0.3444
preorder_traverse            | BinarySearchTree   | ...inary_tree/binary_search_tree.py | 302   | 2    | 0    | No   | 0.3444
build                        | SegmentTree        | ...binary_tree/lazy_segment_tree.py | 39    | 2    | 0    | No   | 0.3444
_depth                       | BinaryTree         | ...binary_tree/basic_binary_tree.py | 88    | 2    | 0    | No   | 0.3444
build                        | SegmentTree        | ...ee/non_recursive_segment_tree.py | 67    | 2    | 0    | No   | 0.3444
__init__                     | SegmentTree        | ...ures/binary_tree/segment_tree.py | 5     | 2    | 0    | No   | 0.3444
build                        | SegmentTree        | ...ures/binary_tree/segment_tree.py | 38    | 2    | 0    | No   | 0.3444
show_data                    | SegmentTree        | ...ures/binary_tree/segment_tree.py | 99    | 2    | 0    | No   | 0.3444
__post_init__                | TreeNode           | ...alize_deserialize_binary_tree.py | 22    | 2    | 0    | No   | 0.3444
build_tree                   | None               | ...alize_deserialize_binary_tree.py | 122   | 2    | 0    | No   | 0.3444
get_height                   | None               | ...ructures/binary_tree/avl_tree.py | 75    | 2    | 0    | No   | 0.3444
my_max                       | None               | ...ructures/binary_tree/avl_tree.py | 81    | 2    | 0    | No   | 0.3444
del_node                     | AVLtree            | ...ructures/binary_tree/avl_tree.py | 289   | 2    | 0    | No   | 0.3444
depth_first_search           | BinaryTreeNodeSum  | ...ary_tree/binary_tree_node_sum.py | 61    | 2    | 0    | No   | 0.3444
push                         | StackWithQueues    | ...stacks/stack_using_two_queues.py | 37    | 2    | 0    | No   | 0.3444
__len__                      | Stack              | ...stack_with_doubly_linked_list.py | 74    | 2    | 0    | No   | 0.3444
print_stack                  | Stack              | ...stack_with_doubly_linked_list.py | 85    | 2    | 0    | No   | 0.3444
__iter__                     | LinkedStack        | ...stack_with_singly_linked_list.py | 53    | 2    | 0    | No   | 0.3444
print_array                  | None               | ...res/stacks/stock_span_problem.py | 61    | 2    | 0    | No   | 0.3444
hash_                        | Bloom              | ...ructures/hashing/bloom_filter.py | 91    | 2    | 0    | No   | 0.3444
_iterate_buckets             | HashMap            | data_structures/hashing/hash_map.py | 128   | 2    | 0    | No   | 0.3444
rehashing                    | HashTable          | ...structures/hashing/hash_table.py | 239   | 2    | 0    | No   | 0.3444
__init__                     | Heap               | ..._structures/heap/heap_generic.py | 10    | 2    | 0    | No   | 0.3444
main                         | None               | ...d_even_transposition_parallel.py | 182   | 1    | 0    | No   | 0.3333
__len__                      | Node               | sorts/tree_sort.py                  | 26    | 1    | 0    | No   | 0.3333
alphanum_key                 | None               | sorts/natural_sort.py               | 27    | 1    | 0    | No   | 0.3333
__lt__                       | Comparable         | sorts/insertion_sort.py             | 21    | 1    | 0    | No   | 0.3333
__lt__                       | Stack              | sorts/patience_sort.py              | 24    | 1    | 0    | No   | 0.3333
__eq__                       | Stack              | sorts/patience_sort.py              | 27    | 1    | 0    | No   | 0.3333
main                         | None               | sorts/pigeonhole_sort.py            | 42    | 1    | 0    | No   | 0.3333
main                         | None               | sorts/tim_sort.py                   | 78    | 1    | 0    | No   | 0.3333
__init__                     | FileSplitter       | sorts/external_sort.py              | 13    | 1    | 0    | No   | 0.3333
write_block                  | FileSplitter       | sorts/external_sort.py              | 17    | 1    | 0    | No   | 0.3333
get_block_filenames          | FileSplitter       | sorts/external_sort.py              | 23    | 1    | 0    | No   | 0.3333
cleanup                      | FileSplitter       | sorts/external_sort.py              | 43    | 1    | 0    | No   | 0.3333
__init__                     | FilesArray         | sorts/external_sort.py              | 60    | 1    | 0    | No   | 0.3333
get_dict                     | FilesArray         | sorts/external_sort.py              | 66    | 1    | 0    | No   | 0.3333
unshift                      | FilesArray         | sorts/external_sort.py              | 82    | 1    | 0    | No   | 0.3333
__init__                     | FileMerger         | sorts/external_sort.py              | 90    | 1    | 0    | No   | 0.3333
__init__                     | ExternalSort       | sorts/external_sort.py              | 110   | 1    | 0    | No   | 0.3333
sort                         | ExternalSort       | sorts/external_sort.py              | 113   | 1    | 0    | No   | 0.3333
get_number_blocks            | ExternalSort       | sorts/external_sort.py              | 124   | 1    | 0    | No   | 0.3333
main                         | None               | sorts/external_sort.py              | 139   | 1    | 0    | No   | 0.3333
__init__                     | Queue              | .../queues/queue_on_pseudo_stack.py | 7     | 1    | 0    | No   | 0.3333
__str__                      | Queue              | .../queues/queue_on_pseudo_stack.py | 11    | 1    | 0    | No   | 0.3333
put                          | Queue              | .../queues/queue_on_pseudo_stack.py | 19    | 1    | 0    | No   | 0.3333
get                          | Queue              | .../queues/queue_on_pseudo_stack.py | 28    | 1    | 0    | No   | 0.3333
front                        | Queue              | .../queues/queue_on_pseudo_stack.py | 50    | 1    | 0    | No   | 0.3333
size                         | Queue              | .../queues/queue_on_pseudo_stack.py | 58    | 1    | 0    | No   | 0.3333
__init__                     | FixedPriorityQueue | ...ues/priority_queue_using_list.py | 69    | 1    | 0    | No   | 0.3333
__str__                      | FixedPriorityQueue | ...ues/priority_queue_using_list.py | 99    | 1    | 0    | No   | 0.3333
__init__                     | ElementPriority... | ...ues/priority_queue_using_list.py | 149   | 1    | 0    | No   | 0.3333
fixed_priority_queue         | None               | ...ues/priority_queue_using_list.py | 180   | 1    | 0    | No   | 0.3333
element_priority_queue       | None               | ...ues/priority_queue_using_list.py | 205   | 1    | 0    | No   | 0.3333
__init__                     | CircularQueue      | ...uctures/queues/circular_queue.py | 7     | 1    | 0    | No   | 0.3333
__init__                     | CircularQueueLi... | ...es/circular_queue_linked_list.py | 22    | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...es/circular_queue_linked_list.py | 152   | 1    | 0    | No   | 0.3333
__init__                     | _Iterator          | ...res/queues/double_ended_queue.py | 60    | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...tructures/queues/linked_queue.py | 10    | 1    | 0    | No   | 0.3333
__str__                      | Node               | ...tructures/queues/linked_queue.py | 14    | 1    | 0    | No   | 0.3333
__init__                     | LinkedQueue        | ...tructures/queues/linked_queue.py | 45    | 1    | 0    | No   | 0.3333
__str__                      | Node               | ...d_list/doubly_linked_list_two.py | 24    | 1    | 0    | No   | 0.3333
__init__                     | LinkedListIterator | ...d_list/doubly_linked_list_two.py | 29    | 1    | 0    | No   | 0.3333
__iter__                     | LinkedListIterator | ...d_list/doubly_linked_list_two.py | 32    | 1    | 0    | No   | 0.3333
__iter__                     | LinkedList         | ...d_list/doubly_linked_list_two.py | 65    | 1    | 0    | No   | 0.3333
is_empty                     | LinkedList         | ...d_list/doubly_linked_list_two.py | 162   | 1    | 0    | No   | 0.3333
__init__                     | LinkedList         | ...ructures/linked_list/__init__.py | 21    | 1    | 0    | No   | 0.3333
is_empty                     | LinkedList         | ...ructures/linked_list/__init__.py | 89    | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...middle_element_of_linked_list.py | 5     | 1    | 0    | No   | 0.3333
__init__                     | LinkedList         | ...middle_element_of_linked_list.py | 11    | 1    | 0    | No   | 0.3333
push                         | LinkedList         | ...middle_element_of_linked_list.py | 14    | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...inked_list/doubly_linked_list.py | 7     | 1    | 0    | No   | 0.3333
__str__                      | Node               | ...inked_list/doubly_linked_list.py | 12    | 1    | 0    | No   | 0.3333
__init__                     | DoublyLinkedList   | ...inked_list/doubly_linked_list.py | 17    | 1    | 0    | No   | 0.3333
insert_at_head               | DoublyLinkedList   | ...inked_list/doubly_linked_list.py | 56    | 1    | 0    | No   | 0.3333
insert_at_tail               | DoublyLinkedList   | ...inked_list/doubly_linked_list.py | 59    | 1    | 0    | No   | 0.3333
delete_head                  | DoublyLinkedList   | ...inked_list/doubly_linked_list.py | 108   | 1    | 0    | No   | 0.3333
delete_tail                  | DoublyLinkedList   | ...inked_list/doubly_linked_list.py | 111   | 1    | 0    | No   | 0.3333
main                         | None               | ...inked_list/singly_linked_list.py | 494   | 1    | 0    | No   | 0.3333
__init__                     | _Node              | ...ures/linked_list/deque_doubly.py | 17    | 1    | 0    | No   | 0.3333
has_next_and_prev            | _Node              | ...ures/linked_list/deque_doubly.py | 22    | 1    | 0    | No   | 0.3333
__init__                     | _DoublyLinkedBase  | ...ures/linked_list/deque_doubly.py | 27    | 1    | 0    | No   | 0.3333
__len__                      | _DoublyLinkedBase  | ...ures/linked_list/deque_doubly.py | 34    | 1    | 0    | No   | 0.3333
is_empty                     | _DoublyLinkedBase  | ...ures/linked_list/deque_doubly.py | 37    | 1    | 0    | No   | 0.3333
_insert                      | _DoublyLinkedBase  | ...ures/linked_list/deque_doubly.py | 40    | 1    | 0    | No   | 0.3333
_delete                      | _DoublyLinkedBase  | ...ures/linked_list/deque_doubly.py | 49    | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...uctures/linked_list/skip_list.py | 17    | 1    | 0    | No   | 0.3333
__init__                     | SkipList           | ...uctures/linked_list/skip_list.py | 53    | 1    | 0    | No   | 0.3333
test_searching_empty_list... | None               | ...uctures/linked_list/skip_list.py | 297   | 1    | 0    | No   | 0.3333
test_search                  | None               | ...uctures/linked_list/skip_list.py | 302   | 1    | 0    | No   | 0.3333
test_deleting_item_from_e... | None               | ...uctures/linked_list/skip_list.py | 318   | 1    | 0    | No   | 0.3333
test_deleted_items_are_no... | None               | ...uctures/linked_list/skip_list.py | 325   | 1    | 0    | No   | 0.3333
test_delete_removes_only_... | None               | ...uctures/linked_list/skip_list.py | 340   | 1    | 0    | No   | 0.3333
is_sorted                    | None               | ...uctures/linked_list/skip_list.py | 392   | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...ructures/linked_list/has_loop.py | 11    | 1    | 0    | No   | 0.3333
test_put                     | BinarySearchTre... | .../binary_search_tree_recursive.py | 307   | 1    | 0    | No   | 0.3333
test_search                  | BinarySearchTre... | .../binary_search_tree_recursive.py | 366   | 1    | 0    | No   | 0.3333
test_empty                   | BinarySearchTre... | .../binary_search_tree_recursive.py | 497   | 1    | 0    | No   | 0.3333
test_is_empty                | BinarySearchTre... | .../binary_search_tree_recursive.py | 502   | 1    | 0    | No   | 0.3333
test_exists                  | BinarySearchTre... | .../binary_search_tree_recursive.py | 509   | 1    | 0    | No   | 0.3333
test_get_max_label           | BinarySearchTre... | .../binary_search_tree_recursive.py | 515   | 1    | 0    | No   | 0.3333
test_get_min_label           | BinarySearchTre... | .../binary_search_tree_recursive.py | 524   | 1    | 0    | No   | 0.3333
test_inorder_traversal       | BinarySearchTre... | .../binary_search_tree_recursive.py | 533   | 1    | 0    | No   | 0.3333
test_preorder_traversal      | BinarySearchTre... | .../binary_search_tree_recursive.py | 539   | 1    | 0    | No   | 0.3333
main                         | None               | ...y_tree/lowest_common_ancestor.py | 139   | 1    | 0    | No   | 0.3333
_remove_repair               | RedBlackTree       | ...es/binary_tree/red_black_tree.py | 205   | 31   | 0    | Yes  | 0.3333
__bool__                     | RedBlackTree       | ...es/binary_tree/red_black_tree.py | 452   | 1    | 0    | No   | 0.3333
print_results                | None               | ...es/binary_tree/red_black_tree.py | 684   | 1    | 0    | No   | 0.3333
pytests                      | None               | ...es/binary_tree/red_black_tree.py | 688   | 1    | 0    | No   | 0.3333
__init__                     | SegmentTreeNode    | ...inary_tree/segment_tree_other.py | 12    | 1    | 0    | No   | 0.3333
__repr__                     | SegmentTreeNode    | ...inary_tree/segment_tree_other.py | 20    | 1    | 0    | No   | 0.3333
__len__                      | Node               | ...binary_tree/floor_and_ceiling.py | 32    | 1    | 0    | No   | 0.3333
__bool__                     | BinarySearchTree   | ...inary_tree/binary_search_tree.py | 133   | 1    | 0    | No   | 0.3333
__init__                     | Node               | ..._structures/binary_tree/treap.py | 12    | 1    | 0    | No   | 0.3333
__len__                      | Node               | ...inary_tree/mirror_binary_tree.py | 30    | 1    | 0    | No   | 0.3333
__init__                     | SegmentTree        | ...binary_tree/lazy_segment_tree.py | 7     | 1    | 0    | No   | 0.3333
__str__                      | SegmentTree        | ...binary_tree/lazy_segment_tree.py | 121   | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...y_tree/merge_two_binary_trees.py | 17    | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...ary_tree/binary_tree_path_sum.py | 18    | 1    | 0    | No   | 0.3333
__init__                     | BinaryTreePathSum  | ...ary_tree/binary_tree_path_sum.py | 77    | 1    | 0    | No   | 0.3333
__len__                      | Node               | ...binary_tree/basic_binary_tree.py | 20    | 1    | 0    | No   | 0.3333
__iter__                     | BinaryTree         | ...binary_tree/basic_binary_tree.py | 35    | 1    | 0    | No   | 0.3333
__len__                      | BinaryTree         | ...binary_tree/basic_binary_tree.py | 38    | 1    | 0    | No   | 0.3333
__init__                     | TreeNode           | ...tten_binarytree_to_linkedlist.py | 23    | 1    | 0    | No   | 0.3333
__init__                     | BinaryTreeNode     | ...e/inorder_tree_traversal_2022.py | 11    | 1    | 0    | No   | 0.3333
make_tree                    | None               | ...e/inorder_tree_traversal_2022.py | 60    | 1    | 0    | No   | 0.3333
main                         | None               | ...e/inorder_tree_traversal_2022.py | 71    | 1    | 0    | No   | 0.3333
next_                        | FenwickTree        | ...ures/binary_tree/fenwick_tree.py | 73    | 1    | 0    | No   | 0.3333
prev                         | FenwickTree        | ...ures/binary_tree/fenwick_tree.py | 77    | 1    | 0    | No   | 0.3333
__init__                     | MyQueue            | ...ructures/binary_tree/avl_tree.py | 17    | 1    | 0    | No   | 0.3333
is_empty                     | MyQueue            | ...ructures/binary_tree/avl_tree.py | 22    | 1    | 0    | No   | 0.3333
push                         | MyQueue            | ...ructures/binary_tree/avl_tree.py | 25    | 1    | 0    | No   | 0.3333
pop                          | MyQueue            | ...ructures/binary_tree/avl_tree.py | 29    | 1    | 0    | No   | 0.3333
count                        | MyQueue            | ...ructures/binary_tree/avl_tree.py | 34    | 1    | 0    | No   | 0.3333
print_queue                  | MyQueue            | ...ructures/binary_tree/avl_tree.py | 37    | 1    | 0    | No   | 0.3333
__init__                     | MyNode             | ...ructures/binary_tree/avl_tree.py | 44    | 1    | 0    | No   | 0.3333
get_data                     | MyNode             | ...ructures/binary_tree/avl_tree.py | 50    | 1    | 0    | No   | 0.3333
get_left                     | MyNode             | ...ructures/binary_tree/avl_tree.py | 53    | 1    | 0    | No   | 0.3333
get_right                    | MyNode             | ...ructures/binary_tree/avl_tree.py | 56    | 1    | 0    | No   | 0.3333
get_height                   | MyNode             | ...ructures/binary_tree/avl_tree.py | 59    | 1    | 0    | No   | 0.3333
set_data                     | MyNode             | ...ructures/binary_tree/avl_tree.py | 62    | 1    | 0    | No   | 0.3333
set_left                     | MyNode             | ...ructures/binary_tree/avl_tree.py | 65    | 1    | 0    | No   | 0.3333
set_right                    | MyNode             | ...ructures/binary_tree/avl_tree.py | 68    | 1    | 0    | No   | 0.3333
set_height                   | MyNode             | ...ructures/binary_tree/avl_tree.py | 71    | 1    | 0    | No   | 0.3333
rl_rotation                  | None               | ...ructures/binary_tree/avl_tree.py | 143   | 1    | 0    | No   | 0.3333
__init__                     | AVLtree            | ...ructures/binary_tree/avl_tree.py | 279   | 1    | 0    | No   | 0.3333
get_height                   | AVLtree            | ...ructures/binary_tree/avl_tree.py | 282   | 1    | 0    | No   | 0.3333
insert                       | AVLtree            | ...ructures/binary_tree/avl_tree.py | 285   | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...ures/binary_tree/wavelet_tree.py | 17    | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...ary_tree/binary_tree_node_sum.py | 21    | 1    | 0    | No   | 0.3333
__init__                     | BinaryTreeNodeSum  | ...ary_tree/binary_tree_node_sum.py | 58    | 1    | 0    | No   | 0.3333
__iter__                     | BinaryTreeNodeSum  | ...ary_tree/binary_tree_node_sum.py | 68    | 1    | 0    | No   | 0.3333
unitsolved                   | None               | ...ructures/arrays/sudoku_solver.py | 201   | 1    | 0    | No   | 0.3333
pop                          | StackWithQueues    | ...stacks/stack_using_two_queues.py | 43    | 1    | 0    | No   | 0.3333
peek                         | StackWithQueues    | ...stacks/stack_using_two_queues.py | 46    | 1    | 0    | No   | 0.3333
__init__                     | Node               | ...stack_with_doubly_linked_list.py | 12    | 1    | 0    | No   | 0.3333
__init__                     | Stack              | ...stack_with_doubly_linked_list.py | 44    | 1    | 0    | No   | 0.3333
is_empty                     | Stack              | ...stack_with_doubly_linked_list.py | 82    | 1    | 0    | No   | 0.3333
__str__                      | Node               | ...stack_with_singly_linked_list.py | 16    | 1    | 0    | No   | 0.3333
__init__                     | LinkedStack        | ...stack_with_singly_linked_list.py | 50    | 1    | 0    | No   | 0.3333
__init__                     | Stack              | data_structures/stacks/stack.py     | 25    | 1    | 0    | No   | 0.3333
__bool__                     | Stack              | data_structures/stacks/stack.py     | 29    | 1    | 0    | No   | 0.3333
__str__                      | Stack              | data_structures/stacks/stack.py     | 32    | 1    | 0    | No   | 0.3333
